"POS-терминал ""POScenter Prime A""";/pos-systems/prime-a/;Цена:  25650 Р
"POS-терминал ""POScenter POS101ES""";/pos-systems/pos101es/;Цена:  от 65500 Р
"POS-терминал ""POScenter Platinum""";/pos-systems/platinum/;Цена:  от 87750 Р
"POS-терминал ""POScenter POS90ES"" Pro";/pos-systems/pos90es-pro/;Цена:  от 64800 Р
"POS-терминал ""POScenter Wise Lite""";/pos-systems/wise_lite/;Цена:  от 27000 Р
"ТСД ""iData P1 mini""";/data-collection-terminal/idata-p1-mini/;Цена:  63208 Р
"POS-терминал ""POScenter POS90NS"" Pro";/pos-systems/pos90ns_pro/;Цена:  от 46575 Р
"ТСД ""iData T1 PRO""";/data-collection-terminal/idata-t1-pro/;Цена:  30690 Р
"POS-терминал ""POScenter POS90"" Pro";/pos-systems/pos90_pro/;Цена:  от 46575 Р
"ТСД ""iData i3 PRO""";/data-collection-terminal/idata-i3-pro/;Цена:  38805 Р
"ТСД ""iData T3 PRO""";/data-collection-terminal/idata-t3-pro/;Цена:  54886 Р
"POS-терминал ""POScenter POS101"" Pro";/pos-systems/pos101-pro/;Цена:  от 50625 Р
"ТСД ""iData K3S-2""";/data-collection-terminal/k3s-2/;Цена:  33800 Р
"POS-терминал ""POScenter POS101-17"" Pro";/pos-systems/pos101-17-pro/;Цена:  от 58050 Р
"ТСД ""iData K8 Cold""";/data-collection-terminal/k8_cold/;Цена:  94687 Р
"POS-терминал ""POScenter POS101"" Pro Resistive";/pos-systems/pos101-pro-resistive/;Цена:  от 56700 Р
"POS-терминал ""POScenter Atlas"" 15"" Resistive";/pos-systems/atlas-15-resistive/;Цена:  от 47250 Р
"ТСД ""iData K8""";/data-collection-terminal/k8/;Цена:  от 81609 Р
"POS-терминал ""POScenter Atlas"" 15.6"" Intel Core i3";/pos-systems/atlas_156_i3/;Цена:  от 38475 Р
"Беспроводной сканер штрихкода ""VMC BurstScanX BTA""";/bar-code-scanners/burstscanx-bta/;Цена:  11600 Р
"Фискальный регистратор ""POScenter-03ФМ"" USB/COM/LAN";/check-and-label-printers/poscenter-03fm-usb-com-lan/;Цена:  17000 Р
"ТСД ""iData K3S""";/data-collection-terminal/k3s/;Цена:  от 33800 Р
"POS-терминал ""POScenter Atlas"" 15.6""";/pos-systems/atlas_156/;Цена:  от 38475 Р
"Настольный 2D сканер штрихкода, с поддержкой удалённого управления POScenter ""Flip""";/bar-code-scanners/flip/;Цена:  5700 Р
"Фискальный регистратор ""POScenter-03ФМ"" USB/COM";/check-and-label-printers/poscenter-03fm-usb-com/;Цена:  16000 Р
"ТСД ""iData Т2""";/data-collection-terminal/t2/;Цена:  66637 Р
"POS-терминал ""POScenter Atlas"" 15""";/pos-systems/atlas_15/;Цена:  от 38475 Р
"Ручной 2D сканер штрихкода, с поддержкой удалённого управления POScenter ""Stellar""";/bar-code-scanners/stellar/;Цена:  4200 Р
"Фискальный регистратор ""РИТЕЙЛ-01ФМ (У) LAN/USB/COM""";/check-and-label-printers/riteyl-01fm-lanusbcom/;Цена:  38500 Р
"POS-терминал ""POScenter Wise Pro""";/pos-systems/wise_pro/;Цена:  от 29500 Р
"ТСД ""iData 50P""";/data-collection-terminal/50p/;Цена:  51988 Р
"Настольный 2D сканер штрихкода, с поддержкой удалённого управления POScenter ""Sphera""";/bar-code-scanners/sphera/;Цена:  6500 Р
"Сенсорный монитор кассира ""POScenter EVA-156 Lite""";/pos-periphery/cashier-displays/eva-156-lite/;Цена:  от 19575 Р
"POS-компьютер ""POScenter Z2 V2""";/pos-periphery/pos-computers/z2-v2/;Цена:  от 31725 Р
"ТСД ""iData K1S""";/data-collection-terminal/k1s/;Цена:  53247 Р
"POS-терминал ""POScenter POS101"" 21.5"" PCAP";/pos-systems/pos101_215/;Цена:  от 74250 Р
"Сенсорный монитор кассира ""POScenter MEGA""";/pos-periphery/cashier-displays/mega/;Цена:  от 43200 Р
"Ручной сканер штрихкода ""POScenter SG-30C""";/bar-code-scanners/sg-30c/;Цена:  2900 Р
"Денежный ящик ""POScenter 13EM""";/pos-periphery/cash-drawers/13em/;Цена:  3350 Р
"Принтер чеков ""POScenter RP-80""";/check-and-label-printers/rp-80/;Цена:  8000 Р
